video_id, duration_minutes, caption, definition, made_for_kids, q_subscribers, channel_antiquity
nPO2XNDFWN0,5,True,hd,False,4270000,5142
279RNoP5UyU,3,True,hd,False,3950000,4206
pWoerADzny4,2,True,hd,False,173000,1967
qYrELVEGJkg,3,True,hd,False,1920000,4320
uROtbSbkaq8,10,True,hd,False,1540000,3624
re4nmwWJrBU,13,True,hd,False,25700000,1925
iIDWMpP84jY,17,True,hd,False,1100000,2841
XDCXT7C7lnk,4,True,hd,False,2430000,4206
84lMEGPUmi4,3,True,hd,False,3360000,2988
G6PZm8vhm6I,2,True,hd,False,23400000,3946
dANJlolAYyA,3,True,hd,False,2380000,3533
446fgjNuhTQ,3,True,hd,False,18900000,3468
uf-36RC6JHE,4,True,hd,False,320000,470
1YlsqNMzaL8,18,True,hd,False,3740000,1990
90Mb0sGociQ,16,True,hd,False,3210000,2692
dX480fsk510,3,True,hd,False,4670000,3294
uhZE84C5g0M,10,True,hd,False,6860000,3768
rYErvhVhlzU,19,True,hd,False,791000,3543
c-ogahIlhWk,10,True,hd,False,10900000,5228
ZOcI_9pAR_A,15,True,hd,False,2350000,284
H7CpOdB2-rg,6,True,hd,False,1750000,2746
3C66w5Z0ixs,18,True,hd,False,5230000,2167
KHeVTRrg4h8,5,True,hd,False,151000,2588
fnGRjwAst7o,30,True,hd,False,1090000,2965
EDO8Z3O7lus,11,True,hd,False,2680000,2583
ay-8L8PZ6BI,3,True,hd,False,16800,351
NvgYhf2LnVI,2,True,hd,False,1560000,1641
31JRUvNQnpM,4,True,hd,False,17000000,3685
5xd9lQ0G78Q,2,True,hd,False,17500000,5215
_J9Z74dQXrQ,8,True,hd,False,229000,256
hz9_jkrrptU,0,True,hd,False,45900000,3004
SWlnzF8bFXM,14,True,hd,False,4250000,3800
LZj4thUjeaM,4,True,hd,False,2370000,5285
JX3OU5weSOQ,2,True,hd,False,4070000,4244
vJGkkncp3wI,9,True,hd,False,1210000,1912
tOQgGQKi-n4,4,True,hd,False,39900,1492
JeqNGzsOEaw,9,True,hd,False,11400000,5484
NSuaUok-wTY,3,True,hd,False,2760000,2086
